student_id,class,math,english,programming,average
S014,B,95.0,92.0,96.0,94.33
S005,A,88.0,91.0,95.0,91.33
S007,A,93.0,85.0,90.0,89.33
S017,C,89.0,87.0,91.0,89.0
S012,B,87.0,89.0,88.0,88.0
S003,A,91.0,82.0,89.0,87.33
S019,C,85.0,90.0,87.0,87.33
S010,B,90.0,76.0,93.0,86.33
S001,A,86.0,78.0,92.0,85.33
S016,B,82.0,84.0,85.0,83.67
S009,B,84.0,80.0,86.0,83.33
S006,A,79.0,82.26315789473684,84.0,81.75
S002,A,75.0,88.0,81.0,81.33
S013,B,78.0,81.0,84.63157894736842,81.21
S020,C,77.0,82.0,80.0,79.67
S015,B,74.0,79.0,83.0,78.67
S008,A,72.0,77.0,70.0,73.0
S018,C,71.0,75.0,73.0,73.0
S004,A,68.0,74.0,76.0,72.67
S011,B,66.0,73.0,69.0,69.33
