flow_id,duration_ms,src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes
F001,42,192.168.1.10,8.8.8.8,UDP,53001,53,2,148
F002,315,192.168.1.10,93.184.216.34,TCP,53002,443,12,8420
F003,28,192.168.1.11,1.1.1.1,UDP,53003,53,2,156
F004,480,192.168.1.11,93.184.216.34,TCP,53004,80,16,12150
F005,120,192.168.1.12,192.168.1.1,UDP,53005,53,2,142
F006,760,192.168.1.12,142.250.72.14,TCP,53006,443,24,18640
F007,55,192.168.1.10,8.8.4.4,UDP,53007,53,2,150
F008,220,192.168.1.13,151.101.1.69,TCP,53008,443,10,6200
F009,95,192.168.1.13,192.168.1.1,ICMP,0,0,4,392
F010,1340,192.168.1.14,140.82.121.4,TCP,53009,443,35,28400
F011,310,192.168.1.10,151.101.1.69,TCP,53010,443,13,9100
F012,37,192.168.1.14,8.8.8.8,UDP,53011,53,2,146
F013,840,192.168.1.15,142.250.72.14,TCP,53012,443,29,22100
F014,180,192.168.1.15,93.184.216.34,TCP,53013,80,8,4800
F015,66,192.168.1.11,192.168.1.1,ICMP,0,0,4,392
F016,510,192.168.1.12,140.82.121.4,TCP,53014,443,18,13700
F017,44,192.168.1.13,1.1.1.1,UDP,53015,53,2,152
F018,275,192.168.1.14,151.101.1.69,TCP,53016,443,11,7350
F019,690,192.168.1.15,142.250.72.14,TCP,53017,443,22,17400
F020,205,192.168.1.10,93.184.216.34,TCP,53018,80,9,5300

