"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"1","0.000000000","GDMideaAirCo_55:99:2c","Broadcast","ARP","64","Who has 192.168.1.1? Tell 192.168.1.204","",""
"2","0.020418500","192.168.1.10","124.225.102.15","TLSv1.2","570","Application Data","49830","31565"
"3","0.020507000","192.168.1.10","124.225.102.15","TLSv1.2","1098","Application Data","49830","31565"
"4","0.064229000","124.225.102.15","192.168.1.10","TCP","58","31565  >  49830 [ACK] Seq=1 Ack=517 Win=94 Len=0","31565","49830"
"5","0.069887900","124.225.102.15","192.168.1.10","TCP","58","31565  >  49830 [ACK] Seq=1 Ack=1561 Win=94 Len=0","31565","49830"
"6","0.138394400","192.168.1.10","124.225.102.15","TCP","55","62384  >  31565 [ACK] Seq=1 Ack=1 Win=251 Len=1","62384","31565"
"7","0.213593700","124.225.102.15","192.168.1.10","TCP","58","31565  >  62384 [ACK] Seq=0 Ack=2 Win=94 Len=0","31565","62384"
"8","0.213594900","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  62384 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","62384"
"9","0.213623600","192.168.1.10","124.225.102.15","TCP","54","[TCP Dup ACK 6#1] [TCP ACKed unseen segment] 62384  >  31565 [ACK] Seq=2 Ack=1 Win=251 Len=0","62384","31565"
"10","0.418756900","192.168.1.10","124.225.102.15","TCP","55","49824  >  31565 [ACK] Seq=1 Ack=1 Win=253 Len=1","49824","31565"
"11","0.431140500","124.225.102.15","192.168.1.10","TCP","58","31565  >  49824 [ACK] Seq=0 Ack=2 Win=94 Len=0","31565","49824"
"12","0.431161900","192.168.1.10","124.225.102.15","TCP","54","[TCP Dup ACK 10#1] [TCP ACKed unseen segment] 49824  >  31565 [ACK] Seq=2 Ack=1 Win=253 Len=0","49824","31565"
"13","0.436682100","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  49824 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","49824"
"14","0.495764700","124.225.102.15","192.168.1.10","TLSv1.2","1326","Application Data","31565","49830"
"15","0.542674600","192.168.1.10","124.225.102.15","TCP","54","49830  >  31565 [ACK] Seq=1561 Ack=1269 Win=251 Len=0","49830","31565"
"16","1.239413300","124.225.102.15","192.168.1.10","TCP","58","31565  >  62386 [ACK] Seq=1 Ack=1 Win=94 Len=0","31565","62386"
"17","1.239441100","192.168.1.10","124.225.102.15","TCP","54","[TCP ACKed unseen segment] 62386  >  31565 [ACK] Seq=1 Ack=2 Win=255 Len=0","62386","31565"
"18","1.240722900","192.168.1.10","124.225.102.15","TCP","55","[TCP Keep-Alive] 62386  >  31565 [ACK] Seq=0 Ack=2 Win=255 Len=1","62386","31565"
"19","1.257825800","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  62386 [ACK] Seq=2 Ack=1 Win=94 Len=0 SLE=0 SRE=1","31565","62386"
"20","1.690585000","192.168.1.10","124.225.102.15","TCP","55","49828  >  31565 [ACK] Seq=1 Ack=1 Win=250 Len=1","49828","31565"
"21","1.713465400","124.225.102.15","192.168.1.10","TCP","58","31565  >  49828 [ACK] Seq=0 Ack=2 Win=94 Len=0","31565","49828"
"22","1.713480200","192.168.1.10","124.225.102.15","TCP","54","[TCP Dup ACK 20#1] [TCP ACKed unseen segment] 49828  >  31565 [ACK] Seq=2 Ack=1 Win=250 Len=0","49828","31565"
"23","1.725173500","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  49828 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","49828"
"24","2.000807900","124.225.102.15","192.168.1.10","TCP","58","31565  >  62353 [ACK] Seq=1 Ack=1 Win=94 Len=0","31565","62353"
"25","2.000832100","192.168.1.10","124.225.102.15","TCP","54","[TCP ACKed unseen segment] 62353  >  31565 [ACK] Seq=1 Ack=2 Win=255 Len=0","62353","31565"
"26","2.002870300","192.168.1.10","124.225.102.15","TCP","55","[TCP Keep-Alive] 62353  >  31565 [ACK] Seq=0 Ack=2 Win=255 Len=1","62353","31565"
"27","2.017960800","192.168.1.10","124.225.102.15","TCP","55","49826  >  31565 [ACK] Seq=1 Ack=1 Win=255 Len=1","49826","31565"
