dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,smean,dmean,ct_srv_src,ct_dst_ltm,ct_src_ltm,ct_srv_dst,label
2.363266,48,24,41158,2068,30.043169,62,252,136424.7656,6709.358887,21,8,50.274745,98.712258,3645.163013,120.76407,857,86,1,1,18,1,1
0.03991,66,70,3926,57578,3382.61089,31,29,775144.0625,11376798.0,7,27,0.618594,0.587955,36.972171,34.33559,59,823,2,2,2,2,0
0.062111,48,50,2958,32642,1561.720109,31,29,373138.4063,4120365.0,7,18,1.314979,1.283875,0.0,98.329706,62,653,3,1,4,10,0
1.060017,14,18,1684,10168,29.244814,31,29,11803.58398,72481.85938,3,5,81.511151,62.322176,9005.12531,7883.931821,120,565,1,4,1,1,0
0.364528,28,30,4616,3080,156.366589,31,29,97704.42969,65355.74609,7,7,13.489148,12.553,751.670926,19.053748,165,103,10,5,5,5,0
9e-06,2,0,1064,0,111111.1072,254,0,472888864.0,0.0,0,0,0.009,0.0,0.0,0.0,532,0,2,1,2,1,1
3.572733,52,54,2934,3742,29.389266,31,29,6444.366211,8224.516602,11,15,70.04737,67.400719,6760.629549,204.311313,56,69,2,3,1,1,0
1.44838,12,8,3032,716,13.118104,254,252,15355.08691,3463.179688,3,2,126.939185,190.856422,6774.977798,282.955281,253,90,3,2,2,3,1
1.016684,10,18,450,17696,26.556923,62,252,3186.830811,131509.875,1,7,112.964889,56.464414,8113.870107,5672.753188,45,983,1,2,4,1,1
1.131247,14,18,1684,10168,27.403387,31,29,11060.36035,67917.96875,3,5,86.987305,66.511824,9688.359996,8482.566898,120,565,1,1,3,1,0
0.024954,60,62,3614,50036,4848.921922,31,29,1139376.375,15782319.0,7,24,0.425069,0.397639,22.735777,22.134807,60,807,8,1,2,5,0
0.178631,10,6,626,268,83.97199,254,252,25258.77539,10031.85352,2,1,18.320889,34.599,974.414103,58.797547,63,45,2,1,1,1,1
0.989833,10,8,910,354,17.174614,254,252,6619.29834,2505.473145,2,1,109.870778,126.404711,5771.119591,262.79075,91,44,3,1,3,1,1
0.939828,10,6,924,268,15.960368,254,252,7082.146973,1906.731934,2,1,100.241,174.624406,6668.759996,313.379406,92,45,1,1,1,1,1
0.010699,62,58,5928,8010,11122.5346,31,29,4361529.0,5886157.5,14,17,0.175393,0.1915,11.340877,0.0,96,138,2,2,1,1,0
4e-06,2,0,1208,0,250000.0006,254,0,1208000000.0,0.0,0,0,0.004,0.0,0.0,0.0,604,0,2,1,1,1,1
0.001085,2,2,146,178,2764.976968,31,29,538248.875,656221.1875,0,0,0.009,0.007,0.0,0.0,73,89,2,7,1,2,0
1.607179,26,110,1492,136231,83.998109,62,252,7142.950195,671950.0,2,53,64.287158,14.169229,3151.516373,1593.941296,57,1238,1,1,3,2,1
1.024707,20,22,1084,1654,40.011439,62,252,8041.323242,12327.42676,7,9,53.931949,48.02881,3004.355192,2574.550835,54,75,1,2,3,1,1
2.728966,360,70,459153,3900,157.202398,62,252,1342275.375,11271.66895,177,8,7.601576,39.267117,824.423637,45.432164,1275,56,1,1,1,1,1
0.662371,10,8,756,354,25.665376,254,252,8224.998047,3744.125488,2,1,73.596778,79.598,4578.572369,129.349383,76,44,7,1,2,3,1
11.78952,442,858,24848,1094788,110.1826,31,29,16823.07617,742023.75,38,390,26.793454,13.756147,10154.04144,7298.579625,56,1276,5,1,1,3,0
0.646721,10,6,658,268,23.193927,254,252,7335.466309,2770.901123,2,1,68.122111,114.316203,3479.103387,178.193547,66,45,4,1,1,3,0
0.55388,10,8,508,354,30.69257,254,252,6615.151367,4477.504395,2,1,57.945111,75.309289,4125.986911,125.346352,51,44,1,1,3,1,1
0.000954,2,2,146,178,3144.654127,31,29,612159.3125,746331.25,0,0,0.01,0.002,0.0,0.0,73,89,4,1,2,2,0
0.591589,10,8,522,496,28.736168,254,252,6355.76416,5868.939453,2,2,65.732111,77.343289,3460.097688,102.109031,52,62,1,1,4,1,1
0.035933,60,62,3614,50036,3367.37826,31,29,791250.375,10960176.0,7,24,0.614172,0.579016,36.024557,34.868648,60,807,11,2,8,7,0
1.445702,36,22,23584,1838,39.427214,62,252,126880.9219,9711.544922,14,8,41.285315,66.325953,2931.971378,102.234609,655,84,1,1,1,1,1
6.56117,40,144,1968,172906,27.891367,62,252,2339.82666,209360.2188,6,70,168.234482,45.257461,10563.77649,5065.957463,49,1201,2,1,1,1,1
8e-06,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,57,0,37,15,15,37,1
50.004395,6,0,384,0,0.099991,1,0,51.195499,0.0,0,0,10000.872,0.0,3.651695,0.0,64,0,1,2,1,2,0
0.005511,22,24,2054,2478,8165.487472,31,29,2846670.5,3447650.25,6,6,0.245952,0.213609,15.06316,12.690595,93,103,3,4,2,7,0
1.22083,14,14,940,764,22.116102,254,252,5720.698242,4652.572754,4,4,93.91,86.102617,5392.814679,142.996187,67,55,3,1,1,3,0
0.054928,72,74,4238,63516,2639.819351,31,29,608796.9375,9125837.0,7,30,0.780257,0.74537,50.505452,48.546149,59,858,7,2,4,2,0
0.239237,10,8,558,1778,71.059244,62,252,16820.14063,52032.08594,2,2,26.581889,30.831285,1384.961619,55.897914,56,222,1,1,1,1,1
0.380485,28,30,4480,3080,149.808797,31,29,90831.4375,62614.82031,7,7,14.079889,13.103518,745.388452,18.568377,160,103,10,3,4,3,0
0.188981,10,6,630,268,79.37306,254,252,24002.41406,9482.43457,2,1,20.997889,33.319602,1066.002357,54.830773,63,45,5,2,2,5,1
0.004728,18,18,4136,2456,7402.707048,31,29,6610829.0,3925549.75,7,7,0.261,0.246471,13.00643,0.333708,230,136,10,6,6,13,0
0.739506,10,6,710,268,20.283811,254,252,6912.722656,2423.239258,2,1,82.133889,124.223,4459.34841,211.067875,71,45,4,1,1,3,0
0.652209,10,8,830,1024,26.065265,62,252,9162.707031,10990.34277,2,2,72.467667,75.42357,4049.141164,110.210289,83,128,1,1,1,1,1
0.170949,10,6,844,268,87.745469,254,252,35566.16406,10482.65918,2,1,18.900556,29.294199,1031.456956,49.333434,84,45,1,1,1,1,1
1.010193,14,18,1684,10168,30.687206,31,29,12385.75195,76056.75781,3,5,77.679002,59.393473,8768.989499,7698.375896,120,565,1,1,2,1,0
9.439911,10,10,820,1420,2.012731,62,252,625.429626,1083.061035,2,2,1048.864889,1037.86425,70026.65563,1942.891375,82,142,2,1,3,1,1
0.001606,4,4,520,304,4358.655029,31,29,1942714.875,1135741.0,0,0,0.410333,0.207,0.573227,0.2885,130,76,6,6,5,5,0
2.841819,20,10,5576,440,10.204731,254,252,14914.39063,1114.778931,7,1,147.814005,311.133438,13134.88294,606.293812,279,44,4,1,2,1,1
0.43591,10,6,534,268,34.410774,254,252,8827.510742,4110.94043,2,1,44.248889,68.664398,2336.038307,101.959828,53,45,7,2,2,7,0
0.001121,2,2,146,178,2676.181891,31,29,520963.4063,635147.1875,0,0,0.008,0.007,0.0,0.0,73,89,2,2,4,4,0
0.150966,90,92,5174,83812,1198.94543,31,29,271160.375,4393095.0,7,39,1.692247,1.671067,109.67106,104.233217,57,911,3,2,1,11,0
0.38572,26,28,4736,2976,137.405367,31,29,94451.92969,59525.04297,7,7,15.41608,14.266481,980.463313,25.969707,182,106,7,5,5,7,0
0.004007,8,10,1058,822,4242.575482,31,29,1848764.625,1477414.5,2,2,0.524,0.389333,34.11128,0.71937,132,82,2,3,7,2,0
0.039876,122,126,7810,15494,6194.202167,31,29,1554017.5,3083960.25,30,32,0.338405,0.314736,23.025235,19.584435,64,123,3,5,4,6,0
1.068564,10,8,564,354,15.909201,254,252,3803.234863,2320.871582,2,1,118.729333,140.275578,7361.864065,218.090047,56,44,1,1,1,1,1
3e-06,2,0,78,0,333333.3215,254,0,104000000.0,0.0,0,0,0.003,0.0,0.0,0.0,39,0,6,1,2,3,0
0.512779,10,6,756,268,29.252368,254,252,10624.45996,3494.682861,2,1,53.883222,92.190602,2790.911196,135.86825,76,45,4,3,20,4,1
0.018094,16,18,1540,1644,1823.80905,31,29,638443.6875,686636.5,4,4,1.185733,1.037588,71.994796,2.20742,96,91,6,9,8,8,0
0.358542,12,26,1256,30158,103.195722,62,252,25704.10156,647042.75,2,11,32.506092,12.68248,1681.379717,1457.028639,105,1160,2,1,1,2,1
0.414719,10,6,534,268,36.16907,254,252,9278.572266,4320.998047,2,1,46.079889,69.723203,2249.491353,112.472031,53,45,7,1,2,3,0
0.343946,10,6,534,268,43.611496,254,252,11187.80273,5210.120117,2,1,35.519778,54.035602,1891.803002,85.080305,53,45,9,4,3,8,1
0.614803,232,438,13350,548216,1088.153412,31,29,172972.4688,7117271.5,21,197,2.66003,1.412113,132.712409,84.084392,58,1252,8,5,2,10,0
0.044851,30,42,2302,34406,1583.019283,31,29,397048.0,5990858.5,5,15,1.535414,1.082171,85.685334,71.932869,77,819,8,14,8,14,0
5.520661,354,746,18890,1087890,199.070369,31,29,27296.73242,1574350.625,2,370,15.638363,7.409062,903.316536,579.985591,53,1458,3,4,2,1,0
9e-06,2,0,1064,0,111111.1072,254,0,472888864.0,0.0,0,0,0.009,0.0,0.0,0.0,532,0,32,13,13,31,1
1.111467,10,8,866,354,15.295101,254,252,5614.20166,2231.2854,2,1,111.067889,148.730578,6272.707286,249.35125,87,44,1,1,1,1,1
0.038007,72,74,4238,63516,3815.086835,31,29,879837.9375,13188729.0,7,30,0.537857,0.519028,30.148,29.564311,59,858,6,2,4,6,0
1.689795,6,2,978,86,4.142514,62,252,3858.456055,203.574982,2,1,337.959,0.007,19703.23593,0.0,163,43,5,2,2,4,0
0.263594,10,6,1268,268,56.905696,254,252,34659.36328,6798.333984,2,1,29.276222,40.009,1402.339413,53.02118,127,45,2,1,2,1,1
0.001086,2,2,146,178,2762.430929,31,29,537753.25,655616.9375,0,0,0.01,0.007,0.0,0.0,73,89,4,3,2,4,0
0.844581,10,6,810,268,17.760286,254,252,6905.199219,2121.762207,2,1,91.215333,152.458,5040.154602,265.711563,81,45,1,1,2,2,1
1.863165,62,26,59372,2008,46.694737,62,252,250820.5156,8291.267578,28,8,30.543688,71.047477,2479.838966,96.282188,958,77,1,1,1,1,1
1.08946,34,10,34210,440,39.469094,254,252,243819.875,2907.862549,14,1,30.276334,113.943891,2720.987133,165.340953,1006,44,2,2,1,2,0
1.528684,20,22,960,5652,26.820454,62,252,4772.732422,28238.66797,7,9,80.457054,64.849335,3943.075268,3574.26149,48,257,2,1,1,1,1
0.448675,52,40,37230,3276,202.81941,31,29,651072.5625,56967.73828,18,8,8.790549,11.490282,883.198692,30.079689,716,82,1,2,1,1,0
1.781412,14,6,8928,320,10.665697,31,29,37233.38672,1199.048828,4,1,137.031689,356.169,13884.75345,614.879375,638,53,3,5,6,2,0
0.132937,48,50,2974,30506,729.668945,31,29,175301.0781,1799107.875,7,18,2.821851,2.701,161.410726,156.53275,62,610,3,2,2,4,0
0.061963,84,86,4862,75600,2727.43414,31,29,620370.25,9647177.0,7,36,0.742663,0.722659,45.037487,44.231661,58,879,11,2,2,4,0
0.690046,10,8,858,354,24.636038,254,252,8961.72168,3593.963135,2,1,73.903444,91.753289,4507.875751,130.112508,86,44,2,1,1,1,1
0.0,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.768,0.0,15.492032,0.0,46,0,2,2,2,2,0
5e-06,2,0,78,0,200000.0051,254,0,62400000.0,0.0,0,0,0.005,0.0,0.0,0.0,39,0,21,7,7,20,1
3.310402,12,10,902,2712,6.343641,62,252,1998.548828,5898.981445,2,3,300.945648,363.316781,19257.09659,655.199562,75,271,1,1,1,1,1
3e-06,2,0,210,0,333333.3215,254,0,280000000.0,0.0,0,0,0.003,0.0,0.0,0.0,105,0,6,1,1,6,0
